GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US49035102801,49035102801,"Census Tract 1028.01, Salt Lake County, Utah",6285,584
1400000US49035102802,49035102802,"Census Tract 1028.02, Salt Lake County, Utah",5146,456
1400000US49035102900,49035102900,"Census Tract 1029, Salt Lake County, Utah",4579,375
1400000US49035103000,49035103000,"Census Tract 1030, Salt Lake County, Utah",2854,226
1400000US49035103100,49035103100,"Census Tract 1031, Salt Lake County, Utah",4555,460
1400000US49035103200,49035103200,"Census Tract 1032, Salt Lake County, Utah",4554,390
1400000US49035103300,49035103300,"Census Tract 1033, Salt Lake County, Utah",4199,309
1400000US49035103400,49035103400,"Census Tract 1034, Salt Lake County, Utah",4318,596
1400000US49035103500,49035103500,"Census Tract 1035, Salt Lake County, Utah",4011,296
1400000US49035103600,49035103600,"Census Tract 1036, Salt Lake County, Utah",2675,196
1400000US49035103700,49035103700,"Census Tract 1037, Salt Lake County, Utah",2670,228
1400000US49035103800,49035103800,"Census Tract 1038, Salt Lake County, Utah",2444,266
1400000US49035103900,49035103900,"Census Tract 1039, Salt Lake County, Utah",3723,358
1400000US49035104000,49035104000,"Census Tract 1040, Salt Lake County, Utah",3285,303
1400000US49035104100,49035104100,"Census Tract 1041, Salt Lake County, Utah",3060,223
1400000US49035104200,49035104200,"Census Tract 1042, Salt Lake County, Utah",6210,490
1400000US49035104300,49035104300,"Census Tract 1043, Salt Lake County, Utah",2826,277
1400000US49035104400,49035104400,"Census Tract 1044, Salt Lake County, Utah",2085,165
1400000US49035104700,49035104700,"Census Tract 1047, Salt Lake County, Utah",5326,468
1400000US49035104800,49035104800,"Census Tract 1048, Salt Lake County, Utah",5148,332
1400000US49035104900,49035104900,"Census Tract 1049, Salt Lake County, Utah",3294,275
1400000US49035110102,49035110102,"Census Tract 1101.02, Salt Lake County, Utah",4383,474
1400000US49035110103,49035110103,"Census Tract 1101.03, Salt Lake County, Utah",3764,365
1400000US49035110104,49035110104,"Census Tract 1101.04, Salt Lake County, Utah",5130,345
1400000US49035110200,49035110200,"Census Tract 1102, Salt Lake County, Utah",5556,320
1400000US49035110300,49035110300,"Census Tract 1103, Salt Lake County, Utah",5519,362
1400000US49035110401,49035110401,"Census Tract 1104.01, Salt Lake County, Utah",3372,206
1400000US49035110402,49035110402,"Census Tract 1104.02, Salt Lake County, Utah",3799,263
1400000US49035110500,49035110500,"Census Tract 1105, Salt Lake County, Utah",6097,650
1400000US49035110600,49035110600,"Census Tract 1106, Salt Lake County, Utah",5254,280
1400000US49035110701,49035110701,"Census Tract 1107.01, Salt Lake County, Utah",3723,387
1400000US49035110702,49035110702,"Census Tract 1107.02, Salt Lake County, Utah",5161,345
1400000US49035110800,49035110800,"Census Tract 1108, Salt Lake County, Utah",5476,560
1400000US49035110900,49035110900,"Census Tract 1109, Salt Lake County, Utah",4371,273
1400000US49035111001,49035111001,"Census Tract 1110.01, Salt Lake County, Utah",4845,333
1400000US49035111002,49035111002,"Census Tract 1110.02, Salt Lake County, Utah",5654,398
1400000US49035111101,49035111101,"Census Tract 1111.01, Salt Lake County, Utah",6975,589
1400000US49035111102,49035111102,"Census Tract 1111.02, Salt Lake County, Utah",6023,444
1400000US49035111103,49035111103,"Census Tract 1111.03, Salt Lake County, Utah",5788,461
1400000US49035111201,49035111201,"Census Tract 1112.01, Salt Lake County, Utah",2858,250
1400000US49035111202,49035111202,"Census Tract 1112.02, Salt Lake County, Utah",4841,463
1400000US49035111302,49035111302,"Census Tract 1113.02, Salt Lake County, Utah",5553,438
1400000US49035111304,49035111304,"Census Tract 1113.04, Salt Lake County, Utah",3498,199
1400000US49035111305,49035111305,"Census Tract 1113.05, Salt Lake County, Utah",4172,370
1400000US49035111306,49035111306,"Census Tract 1113.06, Salt Lake County, Utah",2821,384
1400000US49035111400,49035111400,"Census Tract 1114, Salt Lake County, Utah",6995,616
1400000US49035111500,49035111500,"Census Tract 1115, Salt Lake County, Utah",1687,324
1400000US49035111600,49035111600,"Census Tract 1116, Salt Lake County, Utah",7390,577
1400000US49035111701,49035111701,"Census Tract 1117.01, Salt Lake County, Utah",5463,593
1400000US49035111702,49035111702,"Census Tract 1117.02, Salt Lake County, Utah",4345,460
1400000US49035111801,49035111801,"Census Tract 1118.01, Salt Lake County, Utah",5752,428
1400000US49035111802,49035111802,"Census Tract 1118.02, Salt Lake County, Utah",2550,315
1400000US49035111903,49035111903,"Census Tract 1119.03, Salt Lake County, Utah",4259,374
1400000US49035111904,49035111904,"Census Tract 1119.04, Salt Lake County, Utah",3537,277
1400000US49035111905,49035111905,"Census Tract 1119.05, Salt Lake County, Utah",3619,353
1400000US49035111906,49035111906,"Census Tract 1119.06, Salt Lake County, Utah",4209,336
1400000US49035112001,49035112001,"Census Tract 1120.01, Salt Lake County, Utah",3425,261
1400000US49035112002,49035112002,"Census Tract 1120.02, Salt Lake County, Utah",4116,487
1400000US49035112100,49035112100,"Census Tract 1121, Salt Lake County, Utah",7624,553
1400000US49035112201,49035112201,"Census Tract 1122.01, Salt Lake County, Utah",5469,316
1400000US49035112202,49035112202,"Census Tract 1122.02, Salt Lake County, Utah",3953,391
1400000US49035112301,49035112301,"Census Tract 1123.01, Salt Lake County, Utah",4059,392
1400000US49035112302,49035112302,"Census Tract 1123.02, Salt Lake County, Utah",3758,292
1400000US49035112402,49035112402,"Census Tract 1124.02, Salt Lake County, Utah",6218,495
1400000US49035112403,49035112403,"Census Tract 1124.03, Salt Lake County, Utah",5350,468
1400000US49035112404,49035112404,"Census Tract 1124.04, Salt Lake County, Utah",4703,547
1400000US49035112501,49035112501,"Census Tract 1125.01, Salt Lake County, Utah",3966,313
1400000US49035112502,49035112502,"Census Tract 1125.02, Salt Lake County, Utah",6535,558
1400000US49035112503,49035112503,"Census Tract 1125.03, Salt Lake County, Utah",4649,316
1400000US49035112604,49035112604,"Census Tract 1126.04, Salt Lake County, Utah",4686,273
1400000US49035112605,49035112605,"Census Tract 1126.05, Salt Lake County, Utah",7618,513
1400000US49035112608,49035112608,"Census Tract 1126.08, Salt Lake County, Utah",5077,377
1400000US49035112609,49035112609,"Census Tract 1126.09, Salt Lake County, Utah",5641,319
1400000US49035112610,49035112610,"Census Tract 1126.10, Salt Lake County, Utah",4470,336
1400000US49035112611,49035112611,"Census Tract 1126.11, Salt Lake County, Utah",6416,480
1400000US49035112612,49035112612,"Census Tract 1126.12, Salt Lake County, Utah",4039,382
1400000US49035112613,49035112613,"Census Tract 1126.13, Salt Lake County, Utah",4602,254
1400000US49035112614,49035112614,"Census Tract 1126.14, Salt Lake County, Utah",3299,250
1400000US49035112615,49035112615,"Census Tract 1126.15, Salt Lake County, Utah",2325,139
1400000US49035112616,49035112616,"Census Tract 1126.16, Salt Lake County, Utah",4577,276
1400000US49035112617,49035112617,"Census Tract 1126.17, Salt Lake County, Utah",3538,230
1400000US49035112618,49035112618,"Census Tract 1126.18, Salt Lake County, Utah",3227,336
1400000US49035112619,49035112619,"Census Tract 1126.19, Salt Lake County, Utah",3396,320
1400000US49035112700,49035112700,"Census Tract 1127, Salt Lake County, Utah",5441,486
1400000US49035112804,49035112804,"Census Tract 1128.04, Salt Lake County, Utah",5555,422
1400000US49035112805,49035112805,"Census Tract 1128.05, Salt Lake County, Utah",5433,317
1400000US49035112810,49035112810,"Census Tract 1128.10, Salt Lake County, Utah",7753,209
1400000US49035112812,49035112812,"Census Tract 1128.12, Salt Lake County, Utah",5232,301
1400000US49035112813,49035112813,"Census Tract 1128.13, Salt Lake County, Utah",5569,374
1400000US49035112814,49035112814,"Census Tract 1128.14, Salt Lake County, Utah",4672,346
1400000US49035112815,49035112815,"Census Tract 1128.15, Salt Lake County, Utah",5711,333
1400000US49035112816,49035112816,"Census Tract 1128.16, Salt Lake County, Utah",5770,522
1400000US49035112817,49035112817,"Census Tract 1128.17, Salt Lake County, Utah",7727,568
1400000US49035112818,49035112818,"Census Tract 1128.18, Salt Lake County, Utah",2314,412
1400000US49035112819,49035112819,"Census Tract 1128.19, Salt Lake County, Utah",7311,677
1400000US49035112820,49035112820,"Census Tract 1128.20, Salt Lake County, Utah",8412,477
1400000US49035112821,49035112821,"Census Tract 1128.21, Salt Lake County, Utah",7006,566
1400000US49035112822,49035112822,"Census Tract 1128.22, Salt Lake County, Utah",5067,382
1400000US49035112823,49035112823,"Census Tract 1128.23, Salt Lake County, Utah",5061,450
1400000US49035112904,49035112904,"Census Tract 1129.04, Salt Lake County, Utah",6411,380
1400000US49035112905,49035112905,"Census Tract 1129.05, Salt Lake County, Utah",5747,538
1400000US49035112907,49035112907,"Census Tract 1129.07, Salt Lake County, Utah",4435,402
1400000US49035112912,49035112912,"Census Tract 1129.12, Salt Lake County, Utah",2659,285
1400000US49035112913,49035112913,"Census Tract 1129.13, Salt Lake County, Utah",5008,294
1400000US49035112914,49035112914,"Census Tract 1129.14, Salt Lake County, Utah",6263,416
1400000US49035112916,49035112916,"Census Tract 1129.16, Salt Lake County, Utah",5067,319
1400000US49035112917,49035112917,"Census Tract 1129.17, Salt Lake County, Utah",3980,302
1400000US49035112918,49035112918,"Census Tract 1129.18, Salt Lake County, Utah",5547,426
1400000US49035112920,49035112920,"Census Tract 1129.20, Salt Lake County, Utah",4500,336
1400000US49035112921,49035112921,"Census Tract 1129.21, Salt Lake County, Utah",3709,364
1400000US49035113007,49035113007,"Census Tract 1130.07, Salt Lake County, Utah",5590,492
1400000US49035113008,49035113008,"Census Tract 1130.08, Salt Lake County, Utah",6482,354
1400000US49035113010,49035113010,"Census Tract 1130.10, Salt Lake County, Utah",6645,444
1400000US49035113011,49035113011,"Census Tract 1130.11, Salt Lake County, Utah",5827,333
1400000US49035113012,49035113012,"Census Tract 1130.12, Salt Lake County, Utah",5209,347
1400000US49035113013,49035113013,"Census Tract 1130.13, Salt Lake County, Utah",5659,303
1400000US49035113014,49035113014,"Census Tract 1130.14, Salt Lake County, Utah",4400,439
1400000US49035113016,49035113016,"Census Tract 1130.16, Salt Lake County, Utah",6719,499
1400000US49035113017,49035113017,"Census Tract 1130.17, Salt Lake County, Utah",7193,517
1400000US49035113019,49035113019,"Census Tract 1130.19, Salt Lake County, Utah",7103,517
1400000US49035113020,49035113020,"Census Tract 1130.20, Salt Lake County, Utah",13556,858
1400000US49035113101,49035113101,"Census Tract 1131.01, Salt Lake County, Utah",7468,414
1400000US49035113102,49035113102,"Census Tract 1131.02, Salt Lake County, Utah",3817,314
1400000US49035113105,49035113105,"Census Tract 1131.05, Salt Lake County, Utah",4420,357
1400000US49035113107,49035113107,"Census Tract 1131.07, Salt Lake County, Utah",23044,1030
1400000US49035113108,49035113108,"Census Tract 1131.08, Salt Lake County, Utah",4331,286
1400000US49035113305,49035113305,"Census Tract 1133.05, Salt Lake County, Utah",8611,909
1400000US49035113306,49035113306,"Census Tract 1133.06, Salt Lake County, Utah",5324,547
1400000US49035113307,49035113307,"Census Tract 1133.07, Salt Lake County, Utah",7933,710
